id,end_of_turn,halfturn,team,played,fen,win,draw,loss,outcome
10513,2024-10-18T09:18:30.708Z,12,black,f1b5,r2qkb1r/ppp2ppp/2n1pn2/1B1p1b2/3P1B2/2N1PN2/PPP2PPP/R2QK2R b KQkq - 1 6,0.014,0.984,0.002,
10514,2024-10-18T09:26:00.726Z,13,white,a7a6,r2qkb1r/1pp2ppp/p1n1pn2/1B1p1b2/3P1B2/2N1PN2/PPP2PPP/R2QK2R w KQkq - 0 7,0.086,0.914,0.0,
10515,2024-10-18T09:33:30.743Z,14,black,b5c6,r2qkb1r/1pp2ppp/p1B1pn2/3p1b2/3P1B2/2N1PN2/PPP2PPP/R2QK2R b KQkq - 0 7,0.054,0.946,0.0,
10516,2024-10-18T09:41:00.760Z,15,white,b7c6,r2qkb1r/2p2ppp/p1p1pn2/3p1b2/3P1B2/2N1PN2/PPP2PPP/R2QK2R w KQkq - 0 8,0.054,0.946,0.0,
10517,2024-10-18T09:48:30.775Z,16,black,f3e5,r2qkb1r/2p2ppp/p1p1pn2/3pNb2/3P1B2/2N1P3/PPP2PPP/R2QK2R b KQkq - 1 8,0.078,0.922,0.0,
10518,2024-10-18T09:56:00.792Z,17,white,f8d6,r2qk2r/2p2ppp/p1pbpn2/3pNb2/3P1B2/2N1P3/PPP2PPP/R2QK2R w KQkq - 2 9,0.272,0.728,0.0,
10519,2024-10-18T10:03:30.807Z,18,black,e5c6,r2qk2r/2p2ppp/p1Nbpn2/3p1b2/3P1B2/2N1P3/PPP2PPP/R2QK2R b KQkq - 0 9,0.074,0.926,0.0,
10520,2024-10-18T10:11:00.824Z,19,white,d8d7,r3k2r/2pq1ppp/p1Nbpn2/3p1b2/3P1B2/2N1P3/PPP2PPP/R2QK2R w KQkq - 1 10,0.662,0.338,0.0,
10521,2024-10-18T10:18:30.839Z,20,black,c6e5,r3k2r/2pq1ppp/p2bpn2/3pNb2/3P1B2/2N1P3/PPP2PPP/R2QK2R b KQkq - 2 10,0.461,0.539,0.0,
10522,2024-10-18T10:26:00.853Z,21,white,d6e5,r3k2r/2pq1ppp/p3pn2/3pbb2/3P1B2/2N1P3/PPP2PPP/R2QK2R w KQkq - 0 11,0.954,0.046,0.0,
10523,2024-10-18T10:33:30.869Z,22,black,f4e5,r3k2r/2pq1ppp/p3pn2/3pBb2/3P4/2N1P3/PPP2PPP/R2QK2R b KQkq - 0 11,0.934,0.066,0.0,
10524,2024-10-18T10:41:00.885Z,23,white,f6g4,r3k2r/2pq1ppp/p3p3/3pBb2/3P2n1/2N1P3/PPP2PPP/R2QK2R w KQkq - 1 12,0.984,0.016,0.0,
10525,2024-10-18T10:48:30.901Z,24,black,e5g7,r3k2r/2pq1pBp/p3p3/3p1b2/3P2n1/2N1P3/PPP2PPP/R2QK2R b KQkq - 0 12,0.042,0.957,0.001,
10526,2024-10-18T10:56:00.919Z,25,white,h8g8,r3k1r1/2pq1pBp/p3p3/3p1b2/3P2n1/2N1P3/PPP2PPP/R2QK2R w KQq - 1 13,0.318,0.682,0.0,
10527,2024-10-18T11:03:30.936Z,26,black,g7e5,r3k1r1/2pq1p1p/p3p3/3pBb2/3P2n1/2N1P3/PPP2PPP/R2QK2R b KQq - 2 13,0.24,0.76,0.0,
10528,2024-10-18T11:11:00.953Z,27,white,g4e5,r3k1r1/2pq1p1p/p3p3/3pnb2/3P4/2N1P3/PPP2PPP/R2QK2R w KQq - 0 14,0.162,0.838,0.0,
10529,2024-10-18T11:18:30.968Z,28,black,d4e5,r3k1r1/2pq1p1p/p3p3/3pPb2/8/2N1P3/PPP2PPP/R2QK2R b KQq - 0 14,0.177,0.823,0.0,
10530,2024-10-18T11:26:00.982Z,29,white,g8g2,r3k3/2pq1p1p/p3p3/3pPb2/8/2N1P3/PPP2PrP/R2QK2R w KQq - 0 15,0.128,0.872,0.0,
10531,2024-10-18T11:33:30.997Z,30,black,d1f3,r3k3/2pq1p1p/p3p3/3pPb2/8/2N1PQ2/PPP2PrP/R3K2R b KQq - 1 15,0.154,0.846,0.0,
10532,2024-10-18T11:41:01.015Z,31,white,g2g4,r3k3/2pq1p1p/p3p3/3pPb2/6r1/2N1PQ2/PPP2P1P/R3K2R w KQq - 2 16,0.886,0.114,0.0,
10533,2024-10-18T11:48:31.033Z,32,black,h2h3,r3k3/2pq1p1p/p3p3/3pPb2/6r1/2N1PQ1P/PPP2P2/R3K2R b KQq - 0 16,0.054,0.946,0.0,
10534,2024-10-18T11:56:01.053Z,33,white,g4c4,r3k3/2pq1p1p/p3p3/3pPb2/2r5/2N1PQ1P/PPP2P2/R3K2R w KQq - 1 17,0.1,0.9,0.0,
10535,2024-10-18T12:03:31.073Z,34,black,e1c1,r3k3/2pq1p1p/p3p3/3pPb2/2r5/2N1PQ1P/PPP2P2/2KR3R b q - 2 17,0.0,0.838,0.162,
10536,2024-10-18T12:11:01.091Z,35,white,c4c3,r3k3/2pq1p1p/p3p3/3pPb2/8/2r1PQ1P/PPP2P2/2KR3R w q - 0 18,0.0,0.895,0.105,
10537,2024-10-18T12:18:31.108Z,36,black,b2c3,r3k3/2pq1p1p/p3p3/3pPb2/8/2P1PQ1P/P1P2P2/2KR3R b q - 0 18,0.001,0.965,0.034,
10538,2024-10-18T12:26:01.129Z,37,white,d7a4,r3k3/2p2p1p/p3p3/3pPb2/q7/2P1PQ1P/P1P2P2/2KR3R w q - 1 19,0.001,0.963,0.036,
10539,2024-10-18T12:33:31.146Z,38,black,f3e2,r3k3/2p2p1p/p3p3/3pPb2/q7/2P1P2P/P1P1QP2/2KR3R b q - 2 19,0.001,0.969,0.03,
10540,2024-10-18T12:41:01.164Z,39,white,a8b8,1r2k3/2p2p1p/p3p3/3pPb2/q7/2P1P2P/P1P1QP2/2KR3R w - - 3 20,0.0,0.633,0.367,
10541,2024-10-18T12:48:31.178Z,40,black,d1d4,1r2k3/2p2p1p/p3p3/3pPb2/q2R4/2P1P2P/P1P1QP2/2K4R b - - 4 20,0.0,0.0,1.0,
10542,2024-10-18T12:56:01.191Z,41,white,a4a2,1r2k3/2p2p1p/p3p3/3pPb2/3R4/2P1P2P/q1P1QP2/2K4R w - - 0 21,0.0,0.003,0.997,
10543,2024-10-18T13:03:31.202Z,42,black,c1d2,1r2k3/2p2p1p/p3p3/3pPb2/3R4/2P1P2P/q1PKQP2/7R b - - 1 21,0.0,0.0,1.0,
10544,2024-10-18T13:11:01.222Z,43,white,a2c2,1r2k3/2p2p1p/p3p3/3pPb2/3R4/2P1P2P/2qKQP2/7R w - - 0 22,0.0,0.0,1.0,
10545,2024-10-18T13:18:31.239Z,44,black,d2e1,1r2k3/2p2p1p/p3p3/3pPb2/3R4/2P1P2P/2q1QP2/4K2R b - - 1 22,0.0,0.0,1.0,
10546,2024-10-18T13:26:01.254Z,45,white,b8b1,4k3/2p2p1p/p3p3/3pPb2/3R4/2P1P2P/2q1QP2/1r2K2R w - - 2 23,0.0,0.228,0.772,
10547,2024-10-18T13:33:31.269Z,46,black,d4d1,4k3/2p2p1p/p3p3/3pPb2/8/2P1P2P/2q1QP2/1r1RK2R b - - 3 23,0.0,0.145,0.855,
10548,2024-10-18T13:41:01.283Z,47,white,b1d1,4k3/2p2p1p/p3p3/3pPb2/8/2P1P2P/2q1QP2/3rK2R w - - 0 24,0.0,0.539,0.461,
10549,2024-10-18T13:48:31.296Z,48,black,e2d1,4k3/2p2p1p/p3p3/3pPb2/8/2P1P2P/2q2P2/3QK2R b - - 0 24,0.0,0.607,0.393,
10550,2024-10-18T13:56:01.315Z,49,white,c2c3,4k3/2p2p1p/p3p3/3pPb2/8/2q1P2P/5P2/3QK2R w - - 0 25,0.0,0.694,0.306,
10551,2024-10-18T14:03:31.329Z,50,black,d1d2,4k3/2p2p1p/p3p3/3pPb2/8/2q1P2P/3Q1P2/4K2R b - - 1 25,0.0,0.58,0.42,
10552,2024-10-18T14:11:01.345Z,51,white,c3a1,4k3/2p2p1p/p3p3/3pPb2/8/4P2P/3Q1P2/q3K2R w - - 2 26,0.0,0.645,0.355,
10553,2024-10-18T14:18:31.358Z,52,black,d2d1,4k3/2p2p1p/p3p3/3pPb2/8/4P2P/5P2/q2QK2R b - - 3 26,0.0,0.539,0.461,
10554,2024-10-18T14:26:01.378Z,53,white,a1e5,4k3/2p2p1p/p3p3/3pqb2/8/4P2P/5P2/3QK2R w - - 0 27,0.0,0.457,0.543,
10555,2024-10-18T14:33:31.396Z,54,black,d1d4,4k3/2p2p1p/p3p3/3pqb2/3Q4/4P2P/5P2/4K2R b - - 1 27,0.0,0.484,0.516,
10556,2024-10-18T14:41:01.411Z,55,white,e5d4,4k3/2p2p1p/p3p3/3p1b2/3q4/4P2P/5P2/4K2R w - - 0 28,0.002,0.988,0.01,
10557,2024-10-18T14:48:31.422Z,56,black,e3d4,4k3/2p2p1p/p3p3/3p1b2/3P4/7P/5P2/4K2R b - - 0 28,0.001,0.977,0.022,
10558,2024-10-18T14:56:01.435Z,57,white,a6a5,4k3/2p2p1p/4p3/p2p1b2/3P4/7P/5P2/4K2R w - - 0 29,0.001,0.976,0.023,
10559,2024-10-18T15:03:31.447Z,58,black,e1e2,4k3/2p2p1p/4p3/p2p1b2/3P4/7P/4KP2/7R b - - 1 29,0.0,0.9,0.1,
10560,2024-10-18T15:11:01.471Z,59,white,a5a4,4k3/2p2p1p/4p3/3p1b2/p2P4/7P/4KP2/7R w - - 0 30,0.001,0.982,0.017,
10561,2024-10-18T15:18:31.489Z,60,black,h3h4,4k3/2p2p1p/4p3/3p1b2/p2P3P/8/4KP2/7R b - - 0 30,0.0,0.93,0.07,
10562,2024-10-18T15:26:01.505Z,61,white,f5c2,4k3/2p2p1p/4p3/3p4/p2P3P/8/2b1KP2/7R w - - 1 31,0.001,0.975,0.024,
10563,2024-10-18T15:33:31.518Z,62,black,h1c1,4k3/2p2p1p/4p3/3p4/p2P3P/8/2b1KP2/2R5 b - - 2 31,0.01,0.988,0.002,
10564,2024-10-18T15:41:01.534Z,63,white,c2b3,4k3/2p2p1p/4p3/3p4/p2P3P/1b6/4KP2/2R5 w - - 3 32,0.01,0.988,0.002,
10565,2024-10-18T15:48:31.547Z,64,black,c1c7,4k3/2R2p1p/4p3/3p4/p2P3P/1b6/4KP2/8 b - - 0 32,0.01,0.988,0.002,
10566,2024-10-18T15:56:01.559Z,65,white,a4a3,4k3/2R2p1p/4p3/3p4/3P3P/pb6/4KP2/8 w - - 0 33,0.004,0.99,0.006,
10567,2024-10-18T16:03:31.574Z,66,black,e2d3,4k3/2R2p1p/4p3/3p4/3P3P/pb1K4/5P2/8 b - - 1 33,0.002,0.984,0.014,
10568,2024-10-18T16:19:21.160Z,67,white,a3a2,4k3/2R2p1p/4p3/3p4/3P3P/1b1K4/p4P2/8 w - - 0 34,0.002,0.987,0.011,
10569,2024-10-18T16:26:51.178Z,68,black,c7a7,4k3/R4p1p/4p3/3p4/3P3P/1b1K4/p4P2/8 b - - 1 34,0.002,0.987,0.011,
10570,2024-10-18T16:34:21.191Z,69,white,e8f8,5k2/R4p1p/4p3/3p4/3P3P/1b1K4/p4P2/8 w - - 2 35,0.002,0.987,0.011,
10571,2024-10-18T16:41:51.205Z,70,black,d3c3,5k2/R4p1p/4p3/3p4/3P3P/1bK5/p4P2/8 b - - 3 35,0.004,0.99,0.006,
10572,2024-10-18T16:49:21.227Z,71,white,b3c4,5k2/R4p1p/4p3/3p4/2bP3P/2K5/p4P2/8 w - - 4 36,0.002,0.988,0.01,
10573,2024-10-18T16:56:51.244Z,72,black,a7a8,R4k2/5p1p/4p3/3p4/2bP3P/2K5/p4P2/8 b - - 5 36,0.002,0.988,0.01,
10574,2024-10-18T17:04:21.256Z,73,white,f8g7,R7/5pkp/4p3/3p4/2bP3P/2K5/p4P2/8 w - - 6 37,0.004,0.99,0.006,
10575,2024-10-18T17:11:51.268Z,74,black,c3d2,R7/5pkp/4p3/3p4/2bP3P/8/p2K1P2/8 b - - 7 37,0.0,0.048,0.952,
10576,2024-10-18T17:19:21.279Z,75,white,g7h6,R7/5p1p/4p2k/3p4/2bP3P/8/p2K1P2/8 w - - 8 38,0.0,0.0,1.0,
10577,2024-10-18T17:26:51.291Z,76,black,d2c1,R7/5p1p/4p2k/3p4/2bP3P/8/p4P2/2K5 b - - 9 38,0.0,0.0,1.0,
10578,2024-10-18T17:34:21.307Z,77,white,h6h5,R7/5p1p/4p3/3p3k/2bP3P/8/p4P2/2K5 w - - 10 39,0.0,0.0,1.0,
10579,2024-10-18T17:41:51.327Z,78,black,c1b2,R7/5p1p/4p3/3p3k/2bP3P/8/pK3P2/8 b - - 11 39,0.0,0.0,1.0,
10580,2024-10-18T17:49:21.342Z,79,white,h5h4,R7/5p1p/4p3/3p4/2bP3k/8/pK3P2/8 w - - 0 40,0.0,0.363,0.637,
10581,2024-10-18T17:56:51.354Z,80,black,a8g8,6R1/5p1p/4p3/3p4/2bP3k/8/pK3P2/8 b - - 1 40,0.0,0.0,1.0,
10582,2024-10-18T18:04:21.365Z,81,white,h4h3,6R1/5p1p/4p3/3p4/2bP4/7k/pK3P2/8 w - - 2 41,0.0,0.0,1.0,
10583,2024-10-18T18:11:51.380Z,82,black,g8g7,8/5pRp/4p3/3p4/2bP4/7k/pK3P2/8 b - - 3 41,0.0,0.0,1.0,
10584,2024-10-18T18:19:21.397Z,83,white,h7h5,8/5pR1/4p3/3p3p/2bP4/7k/pK3P2/8 w - - 0 42,0.0,0.008,0.992,
10585,2024-10-18T18:26:51.411Z,84,black,g7h7,8/5p1R/4p3/3p3p/2bP4/7k/pK3P2/8 b - - 1 42,0.0,0.0,1.0,
10586,2024-10-18T18:34:21.430Z,85,white,h5h4,8/5p1R/4p3/3p4/2bP3p/7k/pK3P2/8 w - - 0 43,0.0,0.0,1.0,
10587,2024-10-18T18:41:51.441Z,86,black,f2f4,8/5p1R/4p3/3p4/2bP1P1p/7k/pK6/8 b - - 0 43,0.0,0.0,1.0,
10588,2024-10-18T18:49:21.452Z,87,white,f7f5,8/7R/4p3/3p1p2/2bP1P1p/7k/pK6/8 w - - 0 44,0.0,0.0,1.0,
10589,2024-10-18T18:56:51.468Z,88,black,h7e7,8/4R3/4p3/3p1p2/2bP1P1p/7k/pK6/8 b - - 1 44,0.0,0.0,1.0,
10590,2024-10-18T19:04:21.479Z,89,white,h3g3,8/4R3/4p3/3p1p2/2bP1P1p/6k1/pK6/8 w - - 2 45,0.0,0.0,1.0,
10591,2024-10-18T19:11:51.491Z,90,black,e7h7,8/7R/4p3/3p1p2/2bP1P1p/6k1/pK6/8 b - - 3 45,0.0,0.0,1.0,
10592,2024-10-18T19:19:21.509Z,91,white,h4h3,8/7R/4p3/3p1p2/2bP1P2/6kp/pK6/8 w - - 0 46,0.0,0.0,1.0,
10593,2024-10-18T19:26:51.522Z,92,black,h7g7,8/6R1/4p3/3p1p2/2bP1P2/6kp/pK6/8 b - - 1 46,0.0,0.0,1.0,
10594,2024-10-18T19:34:21.538Z,93,white,g3f4,8/6R1/4p3/3p1p2/2bP1k2/7p/pK6/8 w - - 0 47,0.0,0.0,1.0,
10595,2024-10-18T19:41:51.551Z,94,black,g7g6,8/8/4p1R1/3p1p2/2bP1k2/7p/pK6/8 b - - 1 47,0.0,0.0,1.0,
10596,2024-10-18T19:49:21.566Z,95,white,h3h2,8/8/4p1R1/3p1p2/2bP1k2/8/pK5p/8 w - - 0 48,0.0,0.0,1.0,
10597,2024-10-18T19:56:51.583Z,96,black,g6h6,8/8/4p2R/3p1p2/2bP1k2/8/pK5p/8 b - - 1 48,0.0,0.0,1.0,
10598,2024-10-18T20:04:21.593Z,97,white,f4g3,8/8/4p2R/3p1p2/2bP4/6k1/pK5p/8 w - - 2 49,0.0,0.0,1.0,
10599,2024-10-18T20:11:51.606Z,98,black,h6g6,8/8/4p1R1/3p1p2/2bP4/6k1/pK5p/8 b - - 3 49,0.0,0.0,1.0,
10600,2024-10-18T20:19:21.624Z,99,white,g3f2,8/8/4p1R1/3p1p2/2bP4/8/pK3k1p/8 w - - 4 50,0.0,0.0,1.0,
10601,2024-10-18T20:26:51.634Z,100,black,b2c2,8/8/4p1R1/3p1p2/2bP4/8/p1K2k1p/8 b - - 5 50,0.0,0.0,1.0,
10602,2024-10-18T20:34:21.650Z,101,white,h2h1q,8/8/4p1R1/3p1p2/2bP4/8/p1K2k2/7q w - - 0 51,0.0,0.0,1.0,
10603,2024-10-18T20:41:51.690Z,102,black,g6g5,8/8/4p3/3p1pR1/2bP4/8/p1K2k2/7q b - - 1 51,0.0,0.0,1.0,
10604,2024-10-18T20:49:21.705Z,103,white,h1e4,8/8/4p3/3p1pR1/2bPq3/8/p1K2k2/8 w - - 2 52,0.0,0.0,1.0,
10605,2024-10-18T20:56:51.718Z,1,white,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,,,
