id,end_of_turn,halfturn,team,played,fen,win,draw,loss,outcome
10502,2024-10-18T07:56:00.476Z,1,white,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,,,
10503,2024-10-18T08:03:30.502Z,2,black,d2d4,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,0.02,0.979,0.001,
10504,2024-10-18T08:11:00.521Z,3,white,d7d5,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,0.02,0.979,0.001,
10505,2024-10-18T08:18:30.541Z,4,black,b1c3,rnbqkbnr/ppp1pppp/8/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq - 1 2,0.003,0.99,0.007,
10506,2024-10-18T08:26:00.566Z,5,white,g8f6,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq - 2 3,0.003,0.99,0.007,
10507,2024-10-18T08:33:30.583Z,6,black,g1f3,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 3 3,0.001,0.983,0.016,
10508,2024-10-18T08:41:00.612Z,7,white,c8f5,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 4 4,0.004,0.991,0.005,
10509,2024-10-18T08:48:30.627Z,8,black,c1f4,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P1B2/2N2N2/PPP1PPPP/R2QKB1R b KQkq - 5 4,0.005,0.991,0.004,
10510,2024-10-18T08:56:00.653Z,9,white,b8c6,r2qkb1r/ppp1pppp/2n2n2/3p1b2/3P1B2/2N2N2/PPP1PPPP/R2QKB1R w KQkq - 6 5,0.017,0.982,0.001,
10511,2024-10-18T09:03:30.670Z,10,black,e2e3,r2qkb1r/ppp1pppp/2n2n2/3p1b2/3P1B2/2N1PN2/PPP2PPP/R2QKB1R b KQkq - 0 5,0.01,0.988,0.002,
10512,2024-10-18T09:11:00.694Z,11,white,e7e6,r2qkb1r/ppp2ppp/2n1pn2/3p1b2/3P1B2/2N1PN2/PPP2PPP/R2QKB1R w KQkq - 0 6,0.011,0.987,0.002,
