id,end_of_turn,halfturn,team,played,fen,win,draw,loss,outcome
7607,2024-10-04T22:00:16.744Z,67,white,c4c2,5bR1/4p3/p4k2/1P1p3p/B4P1P/N7/P1rP3Q/R1BK4 w - - 0 34,1.0,0.0,0.0,
7608,2024-10-04T22:07:46.892Z,68,black,a3b1,5bR1/4p3/p4k2/1P1p3p/B4P1P/8/P1rP3Q/RNBK4 b - - 1 34,1.0,0.0,0.0,
7609,2024-10-04T22:15:16.917Z,69,white,c2c5,5bR1/4p3/p4k2/1Prp3p/B4P1P/8/P2P3Q/RNBK4 w - - 2 35,1.0,0.0,0.0,
7652,2024-10-04T22:22:47.227Z,70,black,h2h3,5bR1/4p3/p4k2/1Prp3p/B4P1P/7Q/P2P4/RNBK4 b - - 3 35,1.0,0.0,0.0,
7702,2024-10-04T22:30:17.416Z,71,white,f8g7,6R1/4p1b1/p4k2/1Prp3p/B4P1P/7Q/P2P4/RNBK4 w - - 4 36,1.0,0.0,0.0,
7703,2024-10-04T22:37:47.484Z,72,black,g8c8,2R5/4p1b1/p4k2/1Prp3p/B4P1P/7Q/P2P4/RNBK4 b - - 5 36,1.0,0.0,0.0,
7704,2024-10-04T22:45:17.522Z,73,white,g7h8,2R4b/4p3/p4k2/1Prp3p/B4P1P/7Q/P2P4/RNBK4 w - - 6 37,1.0,0.0,0.0,
7705,2024-10-04T22:52:47.625Z,74,black,h3g2,2R4b/4p3/p4k2/1Prp3p/B4P1P/8/P2P2Q1/RNBK4 b - - 7 37,1.0,0.0,0.0,
7706,2024-10-04T23:00:17.667Z,75,white,f6f7,2R4b/4pk2/p7/1Prp3p/B4P1P/8/P2P2Q1/RNBK4 w - - 8 38,1.0,0.0,0.0,
7707,2024-10-04T23:07:47.805Z,76,black,g2h2,2R4b/4pk2/p7/1Prp3p/B4P1P/8/P2P3Q/RNBK4 b - - 9 38,1.0,0.0,0.0,
7708,2024-10-04T23:15:17.892Z,77,white,a6b5,2R4b/4pk2/8/1prp3p/B4P1P/8/P2P3Q/RNBK4 w - - 0 39,1.0,0.0,0.0,
7709,2024-10-04T23:22:48.000Z,78,black,c8a8,R6b/4pk2/8/1prp3p/B4P1P/8/P2P3Q/RNBK4 b - - 1 39,1.0,0.0,0.0,
7710,2024-10-04T23:30:18.104Z,79,white,c5c8,R1r4b/4pk2/8/1p1p3p/B4P1P/8/P2P3Q/RNBK4 w - - 2 40,1.0,0.0,0.0,
7711,2024-10-04T23:37:48.195Z,80,black,h2g1,R1r4b/4pk2/8/1p1p3p/B4P1P/8/P2P4/RNBK2Q1 b - - 3 40,1.0,0.0,0.0,
7712,2024-10-04T23:45:18.218Z,81,white,c8c2,R6b/4pk2/8/1p1p3p/B4P1P/8/P1rP4/RNBK2Q1 w - - 4 41,1.0,0.0,0.0,
7713,2024-10-04T23:52:48.308Z,82,black,a8a7,7b/R3pk2/8/1p1p3p/B4P1P/8/P1rP4/RNBK2Q1 b - - 5 41,1.0,0.0,0.0,
