id,played,fen,end_of_turn,win,draw,loss,outcome
6185,c4d5,7r/ppk3pp/5n2/2qB4/6b1/2P5/PP1Q1PPP/RNB1R1K1 b - - 0 17,2024-09-27 12:13:11.449417+00,1,0,0,
6186,f6d5,7r/ppk3pp/8/2qn4/6b1/2P5/PP1Q1PPP/RNB1R1K1 w - - 0 18,2024-09-27 12:20:41.46437+00,1,0,0,
6187,d2g5,7r/ppk3pp/8/2qn2Q1/6b1/2P5/PP3PPP/RNB1R1K1 b - - 1 18,2024-09-27 12:28:11.485968+00,1,0,0,
6188,h8f8,5r2/ppk3pp/8/2qn2Q1/6b1/2P5/PP3PPP/RNB1R1K1 w - - 2 19,2024-09-27 12:35:41.501408+00,1,0,0,
6189,c1e3,5r2/ppk3pp/8/2qn2Q1/6b1/2P1B3/PP3PPP/RN2R1K1 b - - 3 19,2024-09-27 12:43:11.520394+00,1,0,0,
6190,c5e7,5r2/ppk1q1pp/8/3n2Q1/6b1/2P1B3/PP3PPP/RN2R1K1 w - - 4 20,2024-09-27 12:50:41.540164+00,1,0,0,
6191,g5d5,5r2/ppk1q1pp/8/3Q4/6b1/2P1B3/PP3PPP/RN2R1K1 b - - 0 20,2024-09-27 12:58:11.561473+00,1,0,0,
6192,g4e6,5r2/ppk1q1pp/4b3/3Q4/8/2P1B3/PP3PPP/RN2R1K1 w - - 1 21,2024-09-27 13:05:41.578568+00,1,0,0,
6193,d5e5,5r2/ppk1q1pp/4b3/4Q3/8/2P1B3/PP3PPP/RN2R1K1 b - - 2 21,2024-09-27 13:13:11.596126+00,1,0,0,
6194,c7d7,5r2/pp1kq1pp/4b3/4Q3/8/2P1B3/PP3PPP/RN2R1K1 w - - 3 22,2024-09-27 13:20:41.611306+00,1,0,0,
6195,e1d1,5r2/pp1kq1pp/4b3/4Q3/8/2P1B3/PP3PPP/RN1R2K1 b - - 4 22,2024-09-27 13:28:11.629804+00,1,0,0,
6196,d7e8,4kr2/pp2q1pp/4b3/4Q3/8/2P1B3/PP3PPP/RN1R2K1 w - - 5 23,2024-09-27 13:35:41.646012+00,1,0,0,
6197,e5b5,4kr2/pp2q1pp/4b3/1Q6/8/2P1B3/PP3PPP/RN1R2K1 b - - 6 23,2024-09-27 13:43:11.664095+00,1,0,0,
6198,e8f7,5r2/pp2qkpp/4b3/1Q6/8/2P1B3/PP3PPP/RN1R2K1 w - - 7 24,2024-09-27 13:50:41.682726+00,1,0,0,
6199,e3c5,5r2/pp2qkpp/4b3/1QB5/8/2P5/PP3PPP/RN1R2K1 b - - 8 24,2024-09-27 13:58:11.703099+00,1,0,0,
6200,a7a6,5r2/1p2qkpp/p3b3/1QB5/8/2P5/PP3PPP/RN1R2K1 w - - 0 25,2024-09-27 14:05:41.719816+00,1,0,0,
6201,c5e7,5r2/1p2Bkpp/p3b3/1Q6/8/2P5/PP3PPP/RN1R2K1 b - - 0 25,2024-09-27 14:13:11.739106+00,1,0,0,
6202,a6b5,5r2/1p2Bkpp/4b3/1p6/8/2P5/PP3PPP/RN1R2K1 w - - 0 26,2024-09-27 14:20:41.752721+00,1,0,0,
6203,e7f8,5B2/1p3kpp/4b3/1p6/8/2P5/PP3PPP/RN1R2K1 b - - 0 26,2024-09-27 14:28:11.770199+00,1,0,0,
6204,f7f8,5k2/1p4pp/4b3/1p6/8/2P5/PP3PPP/RN1R2K1 w - - 0 27,2024-09-27 14:35:41.789328+00,1,0,0,
6205,b1d2,5k2/1p4pp/4b3/1p6/8/2P5/PP1N1PPP/R2R2K1 b - - 1 27,2024-09-27 14:43:11.81332+00,1,0,0,
6206,e6g4,5k2/1p4pp/8/1p6/6b1/2P5/PP1N1PPP/R2R2K1 w - - 2 28,2024-09-27 14:50:41.830496+00,1,0,0,
6207,d1e1,5k2/1p4pp/8/1p6/6b1/2P5/PP1N1PPP/R3R1K1 b - - 3 28,2024-09-27 14:58:11.849216+00,1,0,0,
6208,g4h5,5k2/1p4pp/8/1p5b/8/2P5/PP1N1PPP/R3R1K1 w - - 4 29,2024-09-27 15:05:41.863474+00,1,0,0,
6209,e1e5,5k2/1p4pp/8/1p2R2b/8/2P5/PP1N1PPP/R5K1 b - - 5 29,2024-09-27 15:13:11.879924+00,1,0,0,
6210,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,2024-09-27 15:20:41.89201+00,,,,
6211,a2a3,rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq - 0 1,2024-09-27 15:28:12.056352+00,0.002,0.987,0.011,
6212,c7c5,rnbqkbnr/pp1ppppp/8/2p5/8/P7/1PPPPPPP/RNBQKBNR w KQkq - 0 2,2024-09-27 15:35:42.069822+00,0.005,0.99,0.005,
6213,h2h4,rnbqkbnr/pp1ppppp/8/2p5/7P/P7/1PPPPPP1/RNBQKBNR b KQkq - 0 2,2024-09-27 15:43:12.17019+00,0,0.895,0.105,
6214,d8a5,rnb1kbnr/pp1ppppp/8/q1p5/7P/P7/1PPPPPP1/RNBQKBNR w KQkq - 1 3,2024-09-27 15:50:42.187558+00,0.013,0.985,0.002,
6215,b2b4,rnb1kbnr/pp1ppppp/8/q1p5/1P5P/P7/2PPPPP1/RNBQKBNR b KQkq - 0 3,2024-09-27 15:58:12.285627+00,0,0.956,0.044,
6216,e7e5,rnb1kbnr/pp1p1ppp/8/q1p1p3/1P5P/P7/2PPPPP1/RNBQKBNR w KQkq - 0 4,2024-09-27 16:05:42.394667+00,1,0,0,
6217,c2c4,rnb1kbnr/pp1p1ppp/8/q1p1p3/1PP4P/P7/3PPPP1/RNBQKBNR b KQkq - 0 4,2024-09-27 16:13:12.472327+00,0.001,0.97,0.029,
6218,c5b4,rnb1kbnr/pp1p1ppp/8/q3p3/1pP4P/P7/3PPPP1/RNBQKBNR w KQkq - 0 5,2024-09-27 16:20:42.52087+00,0.002,0.984,0.014,
6219,g2g4,rnb1kbnr/pp1p1ppp/8/q3p3/1pP3PP/P7/3PPP2/RNBQKBNR b KQkq - 0 5,2024-09-27 16:28:12.597737+00,0,0.037,0.963,
6220,g7g5,rnb1kbnr/pp1p1p1p/8/q3p1p1/1pP3PP/P7/3PPP2/RNBQKBNR w KQkq - 0 6,2024-09-27 16:35:42.669732+00,0.924,0.076,0,
6221,f1h3,rnb1kbnr/pp1p1p1p/8/q3p1p1/1pP3PP/P6B/3PPP2/RNBQK1NR b KQkq - 1 6,2024-09-27 16:43:12.763741+00,0,0.954,0.046,
6222,b8a6,r1b1kbnr/pp1p1p1p/n7/q3p1p1/1pP3PP/P6B/3PPP2/RNBQK1NR w KQkq - 2 7,2024-09-27 16:50:42.893562+00,0.318,0.682,0,
6223,e2e3,r1b1kbnr/pp1p1p1p/n7/q3p1p1/1pP3PP/P3P2B/3P1P2/RNBQK1NR b KQkq - 0 7,2024-09-27 16:58:13.119949+00,0,0.922,0.078,
6224,a5b6,r1b1kbnr/pp1p1p1p/nq6/4p1p1/1pP3PP/P3P2B/3P1P2/RNBQK1NR w KQkq - 1 8,2024-09-27 17:05:43.245683+00,0.251,0.749,0,
