id,instant,player_pseudo,turn_id,move,accuracy,points
1357,2024-09-27 10:30:04.273436+00,Yorick Monstrueux,6172,d1h5,0.06488884,19
1358,2024-09-27 10:30:05.417945+00,Valerian Prédateur,6172,b1c3,0.99969643,299
1359,2024-09-27 10:33:11.724922+00,Lucius Orphelin,6172,e5f7,1,165
1360,2024-09-27 10:33:18.931721+00,Delphinia Anxieuse,6172,e5f7,1,143
1361,2024-09-27 10:35:26.704452+00,Lucius Orphelin,6172,e5f7,1,143
1362,2024-09-27 10:35:41.013775+00,Ignatius Perdu,6172,c4d5,1,304
1363,2024-09-27 10:36:17.910934+00,Valentin Nocturne,6173,d6c5,0.8778404,267
1364,2024-09-27 10:38:00.500791+00,Zorina Nébuleuse,6173,d6d7,0.9817675,298
1365,2024-09-27 10:38:27.230046+00,Nathaniel Acharné,6173,d6c7,1,304
1366,2024-09-27 10:39:30.298244+00,Valentin Nocturne,6173,d6c7,1,235
1367,2024-09-27 10:39:35.905945+00,Amara Calculatrice,6173,d6c6,0.90089715,274
1368,2024-09-27 10:40:19.927932+00,Amara Calculatrice,6173,d6c7,1,194
1369,2024-09-27 10:43:25.147457+00,Lucius Orphelin,6174,f7h8,0.84904975,258
1370,2024-09-27 10:43:26.226677+00,Endora Orpheline,6174,f7h8,0.84904975,199
1371,2024-09-27 10:43:36.421483+00,Ludovic Instable,6174,f7h8,0.84904975,165
1372,2024-09-27 10:43:49.623606+00,Valerian Prédateur,6174,f7h8,0.84904975,140
1373,2024-09-27 10:44:30.786322+00,Yorick Monstrueux,6174,e1e3,0.6478194,197
1374,2024-09-27 10:44:34.663217+00,Montague Dévoué,6174,f7h8,0.84904975,121
1375,2024-09-27 10:45:15.566937+00,Delphinia Anxieuse,6174,c1e3,0.58530635,178
1376,2024-09-27 10:50:57.204325+00,Nathaniel Acharné,6175,c8g4,0.9598766,292
1377,2024-09-27 10:53:56.223249+00,Pandora Monstrueuse,6175,f6g4,1,304
1378,2024-09-27 10:54:22.416475+00,Valentin Nocturne,6175,c8e6,0.917735,279
1379,2024-09-27 10:54:55.740518+00,Amara Calculatrice,6175,c8g4,0.9598766,225
1380,2024-09-27 10:58:34.350175+00,Endora Orpheline,6176,d1d2,1,309
1381,2024-09-27 10:58:53.120498+00,Montague Dévoué,6176,e1e2,0.6951998,214
1382,2024-09-27 10:58:53.6182+00,Lucius Orphelin,6176,h2h3,0.13643132,42
1383,2024-09-27 10:59:01.948571+00,Ludovic Instable,6176,d1d2,1,239
1384,2024-09-27 10:59:34.21835+00,Yorick Monstrueux,6176,e1e2,0.6951998,166
1385,2024-09-27 10:59:48.931106+00,Lucius Orphelin,6176,d1d2,1,199
1386,2024-09-27 11:00:05.897616+00,Yorick Monstrueux,6176,h2h3,0.13643132,42
1387,2024-09-27 11:00:41.316189+00,Lucius Orphelin,6176,e1e2,0.6951998,166
1388,2024-09-27 11:04:26.271105+00,Lucius Orphelin,6176,d1d2,1,199
1389,2024-09-27 11:05:21.611188+00,Ludovic Instable,6176,e1e2,0.6951998,166
1390,2024-09-27 11:06:15.758669+00,Nathaniel Acharné,6177,f8b4,0.97650295,297
1391,2024-09-27 11:06:34.490427+00,Valentin Nocturne,6177,f8b4,0.97650295,229
1392,2024-09-27 11:07:09.904224+00,Amara Calculatrice,6177,f8b4,0.97650295,190
1393,2024-09-27 11:07:14.002883+00,Nathaniel Acharné,6177,f8c5,0.964816,293
1394,2024-09-27 11:07:33.435107+00,Nathaniel Acharné,6177,f8b4,0.97650295,190
1395,2024-09-27 11:09:13.799856+00,Valentin Nocturne,6177,h7h6,0.88780093,270
1396,2024-09-27 11:09:28.652177+00,Valentin Nocturne,6177,f8b4,0.97650295,190
1397,2024-09-27 11:09:42.509646+00,Pandora Monstrueuse,6177,f8c5,0.964816,293
1398,2024-09-27 11:11:31.587337+00,Valentin Nocturne,6177,g7g6,0.85461044,260
1399,2024-09-27 11:13:19.636417+00,Endora Orpheline,6178,b1c3,1,309
1400,2024-09-27 11:13:29.626887+00,Valerian Prédateur,6178,c2c3,1,309
