id,instant,player_pseudo,turn_id,move,accuracy,points
1102,2024-09-27 07:58:35.579412+00,Bram Dominateur,6152,c2c3,0.9117532,163
1103,2024-09-27 07:58:45.467663+00,Ludovic Instable,6152,e2e4,1,179
1104,2024-09-27 07:58:58.684757+00,Endora Orpheline,6152,e2e4,1,125
1105,2024-09-27 07:59:23.248207+00,Elowen Sanguinaire,6152,e2e4,1,84
1106,2024-09-27 08:00:20.229813+00,Valencia Anxieuse,6152,b1c3,0.8895731,184
1107,2024-09-27 08:00:30.151897+00,Valerian Prédateur,6152,d2d4,1,207
1108,2024-09-27 08:01:00.989969+00,Zephyrus Cynique,6152,e2e4,1,69
1109,2024-09-27 08:01:59.961867+00,Lysander Insidieux,6152,b2b4,0.7736181,160
1110,2024-09-27 08:02:27.302824+00,Elowen Sanguinaire,6152,"",0,0
1111,2024-09-27 08:02:32.832871+00,Elowen Sanguinaire,6152,"",0,0
1112,2024-09-27 08:02:34.172756+00,Elowen Sanguinaire,6152,"",0,0
1113,2024-09-27 08:02:35.433019+00,Elowen Sanguinaire,6152,"",0,0
1114,2024-09-27 08:02:36.601859+00,Elowen Sanguinaire,6152,"",0,0
1115,2024-09-27 08:02:38.091756+00,Elowen Sanguinaire,6152,"",0,0
1116,2024-09-27 08:02:39.199503+00,Elowen Sanguinaire,6152,"",0,0
1117,2024-09-27 08:02:40.122337+00,Elowen Sanguinaire,6152,"",0,0
1118,2024-09-27 08:02:40.881144+00,Elowen Sanguinaire,6152,"",0,0
1119,2024-09-27 08:02:41.642453+00,Elowen Sanguinaire,6152,"",0,0
1120,2024-09-27 08:02:42.444102+00,Elowen Sanguinaire,6152,"",0,0
1121,2024-09-27 08:02:43.235267+00,Elowen Sanguinaire,6152,"",0,0
1122,2024-09-27 08:02:44.262887+00,Elowen Sanguinaire,6152,"",0,0
1123,2024-09-27 08:02:45.833497+00,Elowen Sanguinaire,6152,"",0,0
1124,2024-09-27 08:02:46.764291+00,Elowen Sanguinaire,6152,"",0,0
1125,2024-09-27 08:02:47.840972+00,Elowen Sanguinaire,6152,"",0,0
1126,2024-09-27 08:02:48.880309+00,Elowen Sanguinaire,6152,"",0,0
1127,2024-09-27 08:02:49.923513+00,Elowen Sanguinaire,6152,"",0,0
1128,2024-09-27 08:02:54.212233+00,Elowen Sanguinaire,6152,"",0,0
1129,2024-09-27 08:02:55.197577+00,Montague Dévoué,6152,e2e4,1,81
1130,2024-09-27 08:03:04.991729+00,Elowen Sanguinaire,6152,"",0,0
1131,2024-09-27 08:03:11.134838+00,Elowen Sanguinaire,6152,"",0,0
1132,2024-09-27 08:03:22.488753+00,Elowen Sanguinaire,6152,e2e4,1,58
